dataset,model,item,reference,transcript,latency_seconds,wer,cer
common_voice,deepgram_nova3,common_voice_0,तुम्हारे पास तीन महीने बचे हैं।,तुम्हारे पास तीन महीने बचे हैं.,1.75,0.0,0.0
common_voice,sarvam_saarika,common_voice_0,तुम्हारे पास तीन महीने बचे हैं।,तुम्हारे पास तीन महीने बचे हैं।,0.629,0.0,0.0
common_voice,whisper_large_v3,common_voice_0,तुम्हारे पास तीन महीने बचे हैं।,तुम्हारे पास दीन महिने बच्चे हैं,1.51,0.333,0.086
common_voice,indicconformer,common_voice_0,तुम्हारे पास तीन महीने बचे हैं।,तुम्हारे पास तीन महीने बच्चे हैं,2.263,0.167,0.057
common_voice,indicwav2vec,common_voice_0,तुम्हारे पास तीन महीने बचे हैं।,तुम्हारे पास तीन महीने बच्चे हैं,0.046,0.167,0.057
common_voice,deepgram_nova3,common_voice_1,मैं खाती हूँ।,मैं खाती हूं.,1.749,0.5,0.133
common_voice,sarvam_saarika,common_voice_1,मैं खाती हूँ।,मैं खाती हूँ,0.558,0.0,0.0
common_voice,whisper_large_v3,common_voice_1,मैं खाती हूँ।,मैं खाती हूँ,1.006,0.0,0.0
common_voice,indicconformer,common_voice_1,मैं खाती हूँ।,मैं खाती हूं,0.774,0.5,0.133
common_voice,indicwav2vec,common_voice_1,मैं खाती हूँ।,मैं खाती हूँ,0.02,0.0,0.0
common_voice,deepgram_nova3,common_voice_2,बाईं ओर को एक गुप्त रास्ता है।,बाईं ओर को एक भूख्त रास्ता है.,1.538,0.143,0.129
common_voice,sarvam_saarika,common_voice_2,बाईं ओर को एक गुप्त रास्ता है।,बाईं ओर को एक गुप्त रास्ता है।,0.664,0.0,0.0
common_voice,whisper_large_v3,common_voice_2,बाईं ओर को एक गुप्त रास्ता है।,बाई और को एक गुप्त रास्ता है,1.291,0.286,0.097
common_voice,indicconformer,common_voice_2,बाईं ओर को एक गुप्त रास्ता है।,बाई और को एक गुप्त रास्ता है,0.884,0.286,0.097
common_voice,indicwav2vec,common_voice_2,बाईं ओर को एक गुप्त रास्ता है।,भाई और को एक मुक्त रास्ता है,0.019,0.429,0.194
common_voice,deepgram_nova3,common_voice_3,यह स्याही सबसे अच्छी है।,यह सैयी सबसे अच्छी है.,1.308,0.2,0.107
common_voice,sarvam_saarika,common_voice_3,यह स्याही सबसे अच्छी है।,यह शैय ही सबसे अच्छी है।,0.989,0.4,0.143
common_voice,whisper_large_v3,common_voice_3,यह स्याही सबसे अच्छी है।,यह सबसे अच्छी है,1.148,0.2,0.214
common_voice,indicconformer,common_voice_3,यह स्याही सबसे अच्छी है।,यह सही सबसे अच्छी है,0.956,0.2,0.036
common_voice,indicwav2vec,common_voice_3,यह स्याही सबसे अच्छी है।,यह साही सबसे अच्छी है,0.025,0.2,0.036
common_voice,deepgram_nova3,common_voice_4,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका.,1.307,0.0,0.0
common_voice,sarvam_saarika,common_voice_4,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।,0.667,0.0,0.0
common_voice,whisper_large_v3,common_voice_4,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।,डबा इतना भारी था कि मैं उसे हिला नहीं सका,1.451,0.1,0.02
common_voice,indicconformer,common_voice_4,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका,0.947,0.0,0.0
common_voice,indicwav2vec,common_voice_4,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।,डब्बा इतना भारी था कि मैं उसे हिला नहीं सका,0.021,0.0,0.0
common_voice,deepgram_nova3,common_voice_5,वे कुछ करते क्यों नहीं?,वे कुछ करते क्यों नहीं?,1.567,0.0,0.0
common_voice,sarvam_saarika,common_voice_5,वे कुछ करते क्यों नहीं?,वे कुछ करते क्यों नहीं हैं?,0.668,0.2,0.192
common_voice,whisper_large_v3,common_voice_5,वे कुछ करते क्यों नहीं?,वे कुछ करते क्यों नहीं है।,1.372,0.2,0.154
common_voice,indicconformer,common_voice_5,वे कुछ करते क्यों नहीं?,वे कुछ करते क्यों नहीं,0.829,0.0,0.0
common_voice,indicwav2vec,common_voice_5,वे कुछ करते क्यों नहीं?,वे कुछ करते क्यों नहीं,0.02,0.0,0.0
common_voice,deepgram_nova3,common_voice_6,मैं पूरी रात रोई।,मैं पूरी रात रोहिए.,1.233,0.25,0.111
common_voice,sarvam_saarika,common_voice_6,मैं पूरी रात रोई।,मैं पूरी रात रोई हूँ,0.655,0.5,0.278
common_voice,whisper_large_v3,common_voice_6,मैं पूरी रात रोई।,मैं पुरिरा त्रोईन।,1.299,0.75,0.333
common_voice,indicconformer,common_voice_6,मैं पूरी रात रोई।,मैं पूरी रात रोई,1.143,0.0,0.0
common_voice,indicwav2vec,common_voice_6,मैं पूरी रात रोई।,मैं पूरी रात रोए,0.025,0.25,0.056
common_voice,deepgram_nova3,common_voice_7,तुम गलत मंज़िल पर हो।,तुम गलत मंज़िल पर हो.,1.624,0.0,0.0
common_voice,sarvam_saarika,common_voice_7,तुम गलत मंज़िल पर हो।,तुम गलत मंज़िल पर हो।,0.636,0.0,0.0
common_voice,whisper_large_v3,common_voice_7,तुम गलत मंज़िल पर हो।,तुम गलत मंजिल पर हो।,1.166,0.2,0.037
common_voice,indicconformer,common_voice_7,तुम गलत मंज़िल पर हो।,तुम गलत मंजिल पर हो,0.767,0.2,0.037
common_voice,indicwav2vec,common_voice_7,तुम गलत मंज़िल पर हो।,तुम गलत मंजिल पर हो,0.015,0.2,0.037
common_voice,deepgram_nova3,common_voice_8,आभा ने राठौड़ से जेल में मुलाकात की,आभा ने राठौर से jail में मुलाबात की.,1.588,0.444,0.146
common_voice,sarvam_saarika,common_voice_8,आभा ने राठौड़ से जेल में मुलाकात की,आभा ने राठौर से जेल में मुलाकात की।,0.666,0.222,0.049
