dataset,model,item,condition,language,reference,transcript,audio_seconds,latency_seconds,rtf,wer,cer,entity_matched,entity_score,entity_distance
own,deepgram_nova3,Koramangala,quiet,hinglish,Haan bhaiya main Koramangala mein rehta hoon,हां भैया. मैं core मंगला में ही रहता हूं.,4.087,1.32,0.323,1.143,0.364,False,72,0.273
own,deepgram_nova3,Indiranagar,noisy,hinglish,Indiranagar ke paas hi hai mera ghar,इंदिरा नगर के पास ही है मेरा घर.,3.669,1.39,0.379,0.571,0.167,True,81,0.182
own,deepgram_nova3,Whitefield,phone,english,Yeah I stay in Whitefield near the metro,"Yeah, I stay in Whitefield near the metro.",4.481,1.375,0.307,0.0,0.0,True,100,0.0
own,deepgram_nova3,Electronic City,quiet,hinglish,Electronic City Phase 1 mein job karta hoon,Electronic city phase 1 में job करता हूँ.,5.016,1.29,0.257,0.5,0.116,True,100,0.0
own,deepgram_nova3,Marathahalli,rushed,hinglish, Marathahalli bus stop ke paas,मराठा अल्ली bus stop के पास आ जाओ.,4.923,1.641,0.333,1.0,0.276,True,91,0.083
own,deepgram_nova3,Jayanagar,quiet,kannada,Naanu Jayanagar alli iddini,नानू जया नगर अली इत्दिनी.,4.737,1.329,0.281,1.25,0.185,True,88,0.111
own,deepgram_nova3,Rajajinagar,noisy,hindi,Rajajinagar mein mera ek dost rehta hai,राजा जी नगर में मेरा एक दोस्त रहता है.,4.458,1.304,0.292,1.0,0.231,True,81,0.182
own,deepgram_nova3,Hebbal,phone,hinglish,Hebbal flyover ke paas drop kar dena,Hibble flower के पास drop कर देना.,4.969,1.467,0.295,0.571,0.222,False,72,0.273
own,deepgram_nova3,Yelahanka,quiet,english,Is there any market near Yelahanka,Is there any market near Yelahanka?,4.76,1.509,0.317,0.0,0.0,True,100,0.0
own,deepgram_nova3,Banashankari,noisy,kannada,Banashankari ge hogtidini,बना शंकरी गए होकरी में.,5.457,1.58,0.29,1.667,0.4,True,83,0.167
own,deepgram_nova3,HSR Layout,whispered,english,I am currently based in HSR Layout Sector 2,I am currently based in HCSR Layout Sector 2.,5.735,1.78,0.31,0.111,0.023,True,90,0.1
own,deepgram_nova3,BTM Layout,rushed,hinglish,BTM Layout mein hi ghar hai mera,BTM layout में ही घर है मेरा.,4.133,1.708,0.413,0.286,0.094,True,100,0.0
own,deepgram_nova3,Majestic,phone,hindi,Majestic bus station se pickup kar lena,Majestic bus station से मुझे ले चलो.,4.923,1.313,0.267,0.429,0.359,True,100,0.0
own,deepgram_nova3,Silk Board,noisy,english,Just take a look at the traffic at Silk Board,Just take a look at the traffic at Silk Road.,3.506,1.796,0.512,0.1,0.044,True,84,0.158
own,deepgram_nova3,Bellandur,quiet,hinglish,Bellandur lake ke side mein rehta hoon,बेलंदूर lake के side में रहता हूं.,5.201,1.643,0.316,0.571,0.263,True,82,0.176
own,deepgram_nova3,Sarjapur,whispered,hindi,Sarjapur Road thoda andar jaake,सर्जापुर road तोड़ा अंदर जाकर.,4.481,1.391,0.31,1.0,0.258,True,100,0.0
own,deepgram_nova3,Kadugondanahalli,noisy,hindi,Kadugondanahalli mein meri behen rehti hai,कद्दू वर्णा ना हाल्ली में मेरी बहन रहती है.,3.413,1.532,0.449,1.167,0.357,False,62,0.375
own,deepgram_nova3,KR Puram,phone,hinglish,KR Puram railway station ke paas,KR पुरम railway station के पास खड़ा हो.,5.759,1.419,0.246,0.833,0.375,True,100,0.0
own,deepgram_nova3,Byatarayanapura,quiet,hindi,Byatarayanapura mein kaam karta hoon,ब्यात आरायनपुरा में काम करता हूँ.,4.667,1.957,0.419,1.4,0.25,True,86,0.133
own,deepgram_nova3,Rajarajeshwarinagar,rushed,kannada,Rajarajeshwarinagar railway station hattira,राज राजेश्वरी नगर railway station आती रहा.,3.413,1.761,0.516,1.25,0.209,True,84,0.158
own,sarvam_saarika,Koramangala,quiet,hinglish,Haan bhaiya main Koramangala mein rehta hoon,हाँ भैया मैं कोर मंगला में ही रहता हूँ,4.087,0.642,0.157,1.429,0.273,True,81,0.182
own,sarvam_saarika,Indiranagar,noisy,hinglish,Indiranagar ke paas hi hai mera ghar,इंदिरा नगर के पास ही है मेरा घर।,3.669,0.68,0.185,0.571,0.167,True,81,0.182
own,sarvam_saarika,Whitefield,phone,english,Yeah I stay in Whitefield near the metro,"Yeah, I stay in Whitefield near the Metro.",4.481,0.62,0.138,0.0,0.0,True,100,0.0
own,sarvam_saarika,Electronic City,quiet,hinglish,Electronic City Phase 1 mein job karta hoon,इलेक्ट्रॉनिक सिटी फ़ेज़ वन में जॉब करता हूँ,5.016,0.693,0.138,1.375,0.558,False,60,0.4
own,sarvam_saarika,Marathahalli,rushed,hinglish, Marathahalli bus stop ke paas,मराठा अली बस स्टॉप के पास आ जाओ,4.923,0.612,0.124,1.6,0.483,True,86,0.13
own,sarvam_saarika,Jayanagar,quiet,kannada,Naanu Jayanagar alli iddini,ನಾನು ಜಯನಗರ್ ಅಲ್ಲಿ ಇದ್ದೀನಿ,4.737,0.583,0.123,0.25,0.037,True,100,0.0
